,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Cluster
0,1,2011-01-01,springer,2011,1,0,6,0,Mist,14.1,18.2,80.6,10.7,331,654,985,Rekreasi dan Liburan
1,2,2011-01-02,springer,2011,1,0,0,0,Mist,14.9,17.7,69.6,16.7,131,670,801,Rekreasi dan Liburan
2,3,2011-01-03,springer,2011,1,0,1,1,Clear/Cloudy,8.1,9.5,43.7,16.6,120,1229,1349,Cuaca dingin
3,4,2011-01-04,springer,2011,1,0,2,1,Clear/Cloudy,8.2,10.6,59.0,10.7,108,1454,1562,Cuaca dingin
4,5,2011-01-05,springer,2011,1,0,3,1,Clear/Cloudy,9.3,11.5,43.7,12.5,82,1518,1600,Cuaca dingin
5,6,2011-01-06,springer,2011,1,0,4,1,Clear/Cloudy,8.4,11.7,51.8,6.0,88,1518,1606,Cuaca dingin
6,7,2011-01-07,springer,2011,1,0,5,1,Mist,8.1,10.4,49.9,11.3,148,1362,1510,Cuaca dingin
7,8,2011-01-08,springer,2011,1,0,6,0,Mist,6.8,8.1,53.6,17.9,68,891,959,Cuaca dingin
8,9,2011-01-09,springer,2011,1,0,0,0,Clear/Cloudy,5.7,5.8,43.4,24.3,54,768,822,Cuaca dingin
9,10,2011-01-10,springer,2011,1,0,1,1,Clear/Cloudy,6.2,7.5,48.3,15.0,41,1280,1321,Cuaca dingin
10,11,2011-01-11,springer,2011,1,0,2,1,Mist,6.9,9.6,68.6,8.2,43,1220,1263,Cuaca dingin
11,12,2011-01-12,springer,2011,1,0,3,1,Clear/Cloudy,7.1,8.0,60.0,20.4,25,1137,1162,Cuaca dingin
12,13,2011-01-13,springer,2011,1,0,4,1,Clear/Cloudy,6.8,7.5,47.0,20.2,38,1368,1406,Cuaca dingin
13,14,2011-01-14,springer,2011,1,0,5,1,Clear/Cloudy,6.6,9.4,53.8,8.5,54,1367,1421,Cuaca dingin
14,15,2011-01-15,springer,2011,1,0,6,0,Mist,9.6,12.4,49.9,10.6,222,1026,1248,Cuaca dingin
15,16,2011-01-16,springer,2011,1,0,0,0,Clear/Cloudy,9.5,11.7,48.4,12.6,251,953,1204,Cuaca dingin
16,17,2011-01-17,springer,2011,1,1,1,0,Mist,7.2,8.8,53.8,13.0,117,883,1000,Cuaca dingin
17,18,2011-01-18,springer,2011,1,0,2,1,Mist,8.9,11.6,86.2,9.8,9,674,683,Cuaca dingin
18,19,2011-01-19,springer,2011,1,0,3,1,Mist,12.0,14.9,74.2,14.0,78,1572,1650,Cuaca dingin
19,20,2011-01-20,springer,2011,1,0,4,1,Mist,10.7,12.8,53.8,13.1,83,1844,1927,Cuaca dingin
20,21,2011-01-21,springer,2011,1,0,5,1,Clear/Cloudy,7.3,7.9,45.7,23.7,75,1468,1543,Cuaca dingin
21,22,2011-01-22,springer,2011,1,0,6,0,Clear/Cloudy,2.4,4.0,40.0,11.5,93,888,981,Cuaca dingin
22,23,2011-01-23,springer,2011,1,0,0,0,Clear/Cloudy,4.0,4.9,43.7,16.5,150,836,986,Cuaca dingin
23,24,2011-01-24,springer,2011,1,0,1,1,Clear/Cloudy,4.0,5.9,49.2,10.6,86,1330,1416,Cuaca dingin
24,25,2011-01-25,springer,2011,1,0,2,1,Mist,9.2,11.7,61.7,8.7,186,1799,1985,Cuaca dingin
25,26,2011-01-26,springer,2011,1,0,3,1,Light Rain,8.9,10.2,86.2,19.7,34,472,506,Cuaca Buruk
